"","Gene","Celltype"
"1","UNC5B","Endothelium"
"2","APLNR","Endothelium"
"3","PRCP","Endothelium"
"4","CDH5","Endothelium"
"5","MADCAM1","Endothelium"
"6","PECAM1","Endothelium"
"7","IGFBP3","Endothelium"
"8","CLDN5","Endothelium"
"9","FAM3D","Epithelial"
"10","FABP2","Epithelial"
"11","EPCAM","Epithelial"
"12","FABP1","Epithelial"
"13","C7","Fibroblasts"
"14","COL1A2","Fibroblasts"
"15","CD14","Immune"
"16","PTPRC","Immune"
"17","KIT","Muscle"
"18","ACTC1","Muscle"
"19","MYH11","Muscle"
"20","TAGLN","Muscle"
"21","ACTG2","Muscle"
"22","SOX6","Myo.Meso"
"23","RSPO1","Myo.Meso"
"24","RSPO2","Myo.Meso"
"25","WT1","Myo.Meso"
"26","MSLN","Myo.Meso"
"27","SOX10","Neural"
"28","CHRNA3","Neural"
"29","ELAVL4","Neural"
"30","HAND2","Neural"
"31","GAP43","Neural"
"32","PHOX2B","Neural"
"33","PLP1","Neural"
"34","TUBB2B","Neural"
"35","S100B","Neural"
"36","ABCC9","Pericytes"
"37","KCNJ8","Pericytes"
